model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
ARIMA,705089,1,2159,0.06713807153258344,1.6389302200174214,0.9599844218856227,6.019486941168583e-24,0.0
ARIMA,705089,2,2158,0.06830175094937495,1.6384179474259393,0.9598700492917467,5.662501081515632e-24,0.0
ARIMA,705089,3,2157,0.06955983811788209,1.6377552431583007,0.9597474832377785,5.299695390062417e-24,0.0
ARIMA,705089,4,2156,0.06984965237493226,1.6380797134949352,0.9597695848863368,5.44359198575691e-24,0.0
ARIMA,705089,12,2148,0.07234125016482003,1.6400066316762303,0.9597413317524172,5.913374308801277e-24,0.0
ARIMA,705089,24,2136,0.07720263305074997,1.6417123034948153,0.9595546686639022,6.109211396337932e-24,0.0
ARIMA,705089,48,2112,0.07101125979898784,1.6256751066586113,0.9630002899831719,7.984855546918749e-23,0.0
ARIMA,705089,72,2088,0.0657050518717194,1.6281034976658337,0.9633445591576306,1.3627859201134456e-22,0.0
ARIMA,705090,1,2159,1.4774033207972406,3.5267616511659803,0.9929928810187544,1.2105379279735124e-08,0.0
ARIMA,705090,2,2158,1.47899047970206,3.526807728935184,0.9930142345080516,1.2744128395676143e-08,0.0
ARIMA,705090,3,2157,1.479298205956793,3.5275961955778032,0.9930274470928994,1.3190148108064745e-08,0.0
ARIMA,705090,4,2156,1.4789506419851226,3.5283772646015334,0.9930176045588743,1.3007612094577636e-08,0.0
ARIMA,705090,12,2148,1.4772222709841087,3.5341039326438426,0.9929706401363249,1.2442903075975879e-08,0.0
ARIMA,705090,24,2136,1.449128630553647,3.5202189145369296,0.9928015207701899,9.516020347989496e-09,0.0
ARIMA,705090,48,2112,1.442080220279296,3.518145348094941,0.9920997118646667,2.7844259397151924e-09,0.0
ARIMA,705090,72,2088,1.4594284288924826,3.529834065442447,0.9923818569197653,5.726477961344843e-09,0.0
ARIMA,705091,1,2159,0.019777056812101724,1.3323831725522235,0.9387692947019666,5.709156945056665e-29,0.0
ARIMA,705091,2,2158,0.023915893043726582,1.318743325158777,0.9442419515577489,8.159057047353815e-28,0.0
ARIMA,705091,3,2157,0.024800210882771574,1.3184091223800052,0.9440964604738528,7.690904671816394e-28,0.0
ARIMA,705091,4,2156,0.025197428745453734,1.318585793401759,0.9440725621388885,7.704993305283437e-28,0.0
ARIMA,705091,12,2148,0.02920212580270579,1.3191972705895312,0.9436965591030462,7.134690641597481e-28,0.0
ARIMA,705091,24,2136,0.022884629508019352,1.3140004461478307,0.9426295713740481,4.982289876918163e-28,0.0
ARIMA,705091,48,2112,0.02671157131947855,1.2649186600592914,0.9698842195543024,1.2333505014749433e-20,0.0
ARIMA,705091,72,2088,0.026718439501447592,1.2693104244876388,0.9703427492586708,2.353417499602448e-20,0.0
ARIMA,705092,1,2159,0.3278516225643137,1.4460029608565572,0.9784701171492832,1.5566990027139458e-17,0.0
ARIMA,705092,2,2158,0.328666618190318,1.4458421193895072,0.9784052451211127,1.4729579129773235e-17,0.0
ARIMA,705092,3,2157,0.330451726387455,1.4437977276631857,0.9783101186020894,1.3520473388688782e-17,0.0
ARIMA,705092,4,2156,0.3311620089645084,1.4437557029544912,0.9782659692758757,1.3067898822941894e-17,0.0
ARIMA,705092,12,2148,0.33802186770109777,1.441807416171895,0.9778582739042824,9.455091480152472e-18,0.0
ARIMA,705092,24,2136,0.34165332333290865,1.4445415933019439,0.9781225856294591,1.395761638113885e-17,0.0
ARIMA,705092,48,2112,0.3460516171723934,1.4370214584692091,0.9805237868426439,2.1641224401671786e-16,0.0
ARIMA,705092,72,2088,0.3493813592742877,1.4431694573414875,0.9811429471394936,5.424362315196773e-16,0.0
ARIMA,21334825,1,2159,-0.1343733318430289,1.101178643784085,0.9547326706703011,2.374560084319656e-25,0.0
ARIMA,21334825,2,2158,-0.1326532161367176,1.098530048352722,0.9551498230581995,3.076809711882998e-25,0.0
