model,unit_id,horizon,mae,rmse,mape,within_2_patients_pct
Ensemble,705091,24,0.94,1.2,5.04,90.66
Ensemble,705091,48,1.0,1.26,5.36,90.44
Ensemble,705091,72,0.96,1.22,5.14,90.12
Ensemble,705092,1,0.41,0.61,3.88,96.61
Ensemble,705092,2,0.66,0.91,6.21,93.49
Ensemble,705092,3,0.78,1.03,7.24,92.06
Ensemble,705092,4,0.83,1.09,7.77,91.42
Ensemble,705092,12,1.0,1.24,9.25,89.07
Ensemble,705092,24,1.04,1.27,9.52,88.72
Ensemble,705092,48,1.04,1.26,9.54,88.63
Ensemble,705092,72,1.11,1.33,10.18,88.35
Ensemble,21334825,1,0.33,0.51,2.88,98.92
Ensemble,21334825,2,0.53,0.74,4.56,97.79
Ensemble,21334825,3,0.6,0.83,5.22,97.1
Ensemble,21334825,4,0.66,0.88,5.7,96.64
Ensemble,21334825,12,0.76,0.97,6.55,96.05
Ensemble,21334825,24,0.8,1.02,6.83,95.13
Ensemble,21334825,48,0.79,1.01,6.82,95.19
Ensemble,21334825,72,0.79,1.01,6.77,95.29
Ensemble,21336305,1,0.32,0.49,2.71,98.88
Ensemble,21336305,2,0.48,0.67,4.02,98.52
Ensemble,21336305,3,0.56,0.75,4.67,97.89
Ensemble,21336305,4,0.59,0.79,4.94,97.6
Ensemble,21336305,12,0.7,0.88,5.81,97.16
Ensemble,21336305,24,0.72,0.9,6.01,97.02
Ensemble,21336305,48,0.74,0.92,6.16,96.45
Ensemble,21336305,72,0.71,0.89,5.91,97.1
Ensemble,97635816,1,0.29,0.46,3.0,98.56
Ensemble,97635816,2,0.47,0.67,4.8,97.46
Ensemble,97635816,3,0.56,0.77,5.64,96.85
Ensemble,97635816,4,0.65,0.86,6.54,95.92
Ensemble,97635816,12,0.71,0.92,7.16,95.56
Ensemble,97635816,24,0.73,0.93,7.37,95.34
Ensemble,97635816,48,0.77,0.97,7.74,94.72
Ensemble,97635816,72,0.75,0.95,7.5,95.0
Ensemble,1775257343,1,0.51,0.72,2.87,96.4
Ensemble,1775257343,2,0.76,1.02,4.25,93.21
Ensemble,1775257343,3,0.83,1.11,4.64,91.6
Ensemble,1775257343,4,0.89,1.18,4.96,90.42
