as_of,unit_id,unit_name,psi,psi_residual,drift_status,source,systemic_fraction,consecutive_major,alert_kind
2026-07-03,705092,Oncology 5 South,0.0852,,stable,live,,,
2026-07-03,21334825,Surgical 2 West,0.0425,,stable,live,,,
2026-07-03,21336305,Orthopedic 6 North,0.0104,,stable,live,,,
2026-07-03,97635816,Progressive Care,0.0251,,stable,live,,,
2026-07-03,1775257343,Neuro Stepdown,0.0725,,stable,live,,,
2026-07-03,4452986337,Medical-Surgical 4 South,0.0462,,stable,live,,,
2026-07-04,705089,Medical-Surgical 3 North,0.0481,,stable,live,,,
2026-07-04,705090,Telemetry 4 East,0.0345,,stable,live,,,
2026-07-04,705091,Cardiac Stepdown,0.0023,,stable,live,,,
2026-07-04,705092,Oncology 5 South,0.0852,,stable,live,,,
2026-07-04,21334825,Surgical 2 West,0.0581,,stable,live,,,
2026-07-04,21336305,Orthopedic 6 North,0.0829,,stable,live,,,
2026-07-04,97635816,Progressive Care,0.0371,,stable,live,,,
2026-07-04,1775257343,Neuro Stepdown,0.0313,,stable,live,,,
2026-07-04,4452986337,Medical-Surgical 4 South,0.1107,,moderate,live,,,
2026-07-05,705089,Medical-Surgical 3 North,0.0313,,stable,live,,,
2026-07-05,705090,Telemetry 4 East,0.0883,,stable,live,,,
2026-07-05,705091,Cardiac Stepdown,0.0983,,stable,live,,,
2026-07-05,705092,Oncology 5 South,0.0179,,stable,live,,,
2026-07-05,21334825,Surgical 2 West,0.0217,,stable,live,,,
2026-07-05,21336305,Orthopedic 6 North,0.0863,,stable,live,,,
2026-07-05,97635816,Progressive Care,0.015,,stable,live,,,
2026-07-05,1775257343,Neuro Stepdown,0.0562,,stable,live,,,
2026-07-05,4452986337,Medical-Surgical 4 South,0.0237,,stable,live,,,
2026-07-06,705089,Medical-Surgical 3 North,0.0397,,stable,live,,,
2026-07-06,705090,Telemetry 4 East,0.0677,,stable,live,,,
2026-07-06,705091,Cardiac Stepdown,0.0237,,stable,live,,,
2026-07-06,705092,Oncology 5 South,0.0801,,stable,live,,,
2026-07-06,21334825,Surgical 2 West,0.0805,,stable,live,,,
2026-07-06,21336305,Orthopedic 6 North,0.062,,stable,live,,,
2026-07-06,97635816,Progressive Care,0.0371,,stable,live,,,
2026-07-06,1775257343,Neuro Stepdown,0.014,,stable,live,,,
2026-07-06,4452986337,Medical-Surgical 4 South,0.0572,,stable,live,,,
2026-07-07,705089,Medical-Surgical 3 North,0.0962,,stable,live,,,
2026-07-07,705090,Telemetry 4 East,0.0858,,stable,live,,,
2026-07-07,705091,Cardiac Stepdown,0.0413,,stable,live,,,
2026-07-07,705092,Oncology 5 South,0.1013,,moderate,live,,,
2026-07-07,21334825,Surgical 2 West,0.025,,stable,live,,,
2026-07-07,21336305,Orthopedic 6 North,0.0146,,stable,live,,,
2026-07-07,97635816,Progressive Care,0.0409,,stable,live,,,
2026-07-07,1775257343,Neuro Stepdown,0.0338,,stable,live,,,
2026-07-07,4452986337,Medical-Surgical 4 South,0.0449,,stable,live,,,
2026-07-08,705089,Medical-Surgical 3 North,0.0107,,stable,live,,,
2026-07-08,705090,Telemetry 4 East,0.1256,,moderate,live,,,
2026-07-08,705091,Cardiac Stepdown,0.0274,,stable,live,,,
2026-07-08,705092,Oncology 5 South,0.0571,,stable,live,,,
2026-07-08,21334825,Surgical 2 West,0.0754,,stable,live,,,
2026-07-08,21336305,Orthopedic 6 North,0.062,,stable,live,,,
2026-07-08,97635816,Progressive Care,0.0101,,stable,live,,,
2026-07-08,1775257343,Neuro Stepdown,0.0152,,stable,live,,,
2026-07-08,4452986337,Medical-Surgical 4 South,0.0421,,stable,live,,,
2026-07-09,705089,Medical-Surgical 3 North,0.0618,,stable,live,,,
2026-07-09,705090,Telemetry 4 East,0.1005,,moderate,live,,,
2026-07-09,705091,Cardiac Stepdown,0.0953,,stable,live,,,
2026-07-09,705092,Oncology 5 South,0.1477,,moderate,live,,,
2026-07-09,21334825,Surgical 2 West,0.0249,,stable,live,,,
2026-07-09,21336305,Orthopedic 6 North,0.0382,,stable,live,,,
2026-07-09,97635816,Progressive Care,0.0688,,stable,live,,,
2026-07-09,1775257343,Neuro Stepdown,0.0507,,stable,live,,,
2026-07-09,4452986337,Medical-Surgical 4 South,0.0385,,stable,live,,,
2026-07-10,705089,Medical-Surgical 3 North,0.0367,,stable,live,,,
2026-07-10,705090,Telemetry 4 East,0.046,,stable,live,,,
2026-07-10,705091,Cardiac Stepdown,0.067,,stable,live,,,
2026-07-10,705092,Oncology 5 South,0.1198,,moderate,live,,,
2026-07-10,21334825,Surgical 2 West,0.0425,,stable,live,,,
2026-07-10,21336305,Orthopedic 6 North,0.0337,,stable,live,,,
2026-07-10,97635816,Progressive Care,0.0318,,stable,live,,,
2026-07-10,1775257343,Neuro Stepdown,0.0839,,stable,live,,,
2026-07-10,4452986337,Medical-Surgical 4 South,0.0474,,stable,live,,,
2026-07-11,705089,Medical-Surgical 3 North,0.0576,,stable,live,,,
2026-07-11,705090,Telemetry 4 East,0.0539,,stable,live,,,
2026-07-11,705091,Cardiac Stepdown,0.0946,,stable,live,,,
2026-07-11,705092,Oncology 5 South,0.0598,,stable,live,,,
2026-07-11,21334825,Surgical 2 West,0.0805,,stable,live,,,
2026-07-11,21336305,Orthopedic 6 North,0.0342,,stable,live,,,
2026-07-11,97635816,Progressive Care,0.0318,,stable,live,,,
2026-07-11,1775257343,Neuro Stepdown,0.0681,,stable,live,,,
2026-07-11,4452986337,Medical-Surgical 4 South,0.0243,,stable,live,,,
2026-07-12,705089,Medical-Surgical 3 North,0.0547,,stable,live,,,
2026-07-12,705090,Telemetry 4 East,0.0821,,stable,live,,,
2026-07-12,705091,Cardiac Stepdown,0.0137,,stable,live,,,
2026-07-12,705092,Oncology 5 South,0.0715,,stable,live,,,
2026-07-12,21334825,Surgical 2 West,0.0656,,stable,live,,,
2026-07-12,21336305,Orthopedic 6 North,0.0196,,stable,live,,,
2026-07-12,97635816,Progressive Care,0.0325,,stable,live,,,
2026-07-12,1775257343,Neuro Stepdown,0.0255,,stable,live,,,
2026-07-12,4452986337,Medical-Surgical 4 South,0.0398,,stable,live,,,
2026-07-13,705089,Medical-Surgical 3 North,0.0406,,stable,live,,,
2026-07-13,705090,Telemetry 4 East,0.0504,,stable,live,,,
2026-07-13,705091,Cardiac Stepdown,0.0339,,stable,live,,,
2026-07-13,705092,Oncology 5 South,0.0462,,stable,live,,,
2026-07-13,21334825,Surgical 2 West,0.0432,,stable,live,,,
2026-07-13,21336305,Orthopedic 6 North,0.0312,,stable,live,,,
2026-07-13,97635816,Progressive Care,0.0341,,stable,live,,,
2026-07-13,1775257343,Neuro Stepdown,0.0858,,stable,live,,,
2026-07-13,4452986337,Medical-Surgical 4 South,0.091,,stable,live,,,
2026-07-14,705089,Medical-Surgical 3 North,0.0333,,stable,live,,,
2026-07-14,705090,Telemetry 4 East,0.0707,,stable,live,,,
2026-07-14,705091,Cardiac Stepdown,0.0958,,stable,live,,,
2026-07-14,705092,Oncology 5 South,0.0184,,stable,live,,,
2026-07-14,21334825,Surgical 2 West,0.1421,,moderate,live,,,
2026-07-14,21336305,Orthopedic 6 North,0.036,,stable,live,,,
2026-07-14,97635816,Progressive Care,0.6439,,major,live,,,
2026-07-14,1775257343,Neuro Stepdown,0.0369,,stable,live,,,
2026-07-14,4452986337,Medical-Surgical 4 South,0.0233,,stable,live,,,
2026-07-15,705089,Medical-Surgical 3 North,0.0122,,stable,live,,,
2026-07-15,705090,Telemetry 4 East,0.0518,,stable,live,,,
2026-07-15,705091,Cardiac Stepdown,0.0507,,stable,live,,,
2026-07-15,705092,Oncology 5 South,0.0678,,stable,live,,,
2026-07-15,21334825,Surgical 2 West,0.1222,,moderate,live,,,
2026-07-15,21336305,Orthopedic 6 North,0.0487,,stable,live,,,
2026-07-15,97635816,Progressive Care,0.0688,,stable,live,,,
2026-07-15,1775257343,Neuro Stepdown,0.0691,,stable,live,,,
2026-07-15,4452986337,Medical-Surgical 4 South,0.0802,,stable,live,,,
